id,Name,Type,Date (UTC),Description,Statement Descriptor,Unit Label,Url,Tax Code
prod_TlHnyj6Y4xiHMp,Hospedagem III,service,2026-01-09 19:20,Ideal para projetos robustos até 5 sites com os melhores recursos de velocidade e segurança.,,,,
prod_TlHnHEozuwnuQZ,Hospedagem II,service,2026-01-09 19:19,Ideal para você colocar até 3 sites no ar com recursos avançados de velocidade e segurança.,,,,
prod_TlHmZ8KTx0pe0y,Hospedagem I,service,2026-01-09 19:18,Ideal para colocar o seu site no ar e iniciar o seu projeto em um ambiente de qualidade.,,,,
prod_TlHkFByaoQNRyn,Hospedagem III,service,2026-01-09 19:16,Ideal para projetos robustos até 5 sites com os melhores recursos de velocidade e segurança.,,,,
prod_TlHjgHfcI9VWQO,Hospedagem II,service,2026-01-09 19:16,Ideal para você colocar até 3 sites no ar com recursos avançados de velocidade e segurança.,,,,
prod_TlHjk07PdpInp9,Hospedagem I,service,2026-01-09 19:15,Ideal para colocar o seu site no ar e iniciar o seu projeto em um ambiente de qualidade,,,,
prod_TlHivPnI1uKeVM,Hospedagem III,service,2026-01-09 19:14,Ideal para projetos robustos até 5 sites com os melhores recursos de velocidade e segurança.,,,,
prod_TlHhkG8OCayqlw,Hospedagem II,service,2026-01-09 19:13,Ideal para você colocar até 3 sites no ar com recursos avançados de velocidade e segurança.,,,,
prod_Tl2cU7tNegEibw,Hospedagem word press  I,service,2026-01-09 03:39,"Hospedagem I (até 1 site)Ideal para colocar seu site no ar e iniciar seu projeto com qualidade. Inclui 1 site, WordPress gerenciado, migração grátis, criador de sites, 10 GB de armazenamento, 5 emails, largura de banda ilimitada, SSL grátis, backup diário e suporte 24/7.",,,,
prod_Tl1cDyC1JvGCYD,teste,service,2026-01-09 02:36,,,,,
